,lab,no_seats,simul_users,tot_no_sess,tot_no_users,hours_per_seat,sess_per_seat,avg_min_sess,tot_hrs_per_lab,date,type
725,acs-raza,8,7,99,48,7.3,12,36,58.4,2014-06-01,Mac
726,acs-rcl,1,1,217,171,24.4,217,6,24.4,2014-06-01,Mac
727,acs-rh228,4,3,22,7,7.5,5,89,30.0,2014-06-01,Mac
728,acs-rimac,3,3,121,96,18.6,40,27,55.8,2014-06-01,Mac
730,acs-va228,19,6,55,35,3.8,2,113,72.2,2014-06-01,Mac
731,acs-vilb3w,2,2,183,134,20.2,91,13,40.4,2014-06-01,Mac
732,acs-vilb6e,2,2,220,173,14.3,110,7,28.6,2014-06-01,Mac
733,acs-york1310,22,20,63,31,3.5,2,104,77.0,2014-06-01,Mac
734,acs-york3060,24,24,88,76,2.2,3,44,52.8,2014-06-01,Mac
735,acs-york3070,28,26,187,153,4.4,6,44,123.2,2014-06-01,Mac
708,acs-cpmc207,1,1,1,1,10.0,1,600,10.0,2014-06-01,Mac
707,acs-cpmc204,8,4,21,11,10.3,2,309,82.4,2014-06-01,Mac
706,acs-cpmc201,1,1,1,1,10.0,1,600,10.0,2014-06-01,Mac
704,acs-bml,5,5,88,47,22.7,17,80,113.5,2014-06-01,Mac
729,acs-sungod,9,9,482,360,19.0,53,21,171.0,2014-06-01,Mac
709,acs-gh145,1,1,6,2,1.8,6,17,1.8,2014-06-01,Mac
710,acs-gh18b,12,7,66,39,2.1,5,25,25.2,2014-06-01,Mac
927,acs-rimac,3,3,96,83,10.8,32,20,32.4,2014-06-08,Mac
909,acs-cpmc207,1,1,2,1,1.1,2,31,1.1,2014-06-08,Mac
910,acs-gh18b,11,4,33,22,1.6,3,31,17.6,2014-06-08,Mac
926,acs-rh228,5,4,14,10,1.3,2,39,6.5,2014-06-08,Mac
911,acs-glbw,18,18,377,221,32.5,20,97,585.0,2014-06-08,Mac
912,acs-hss6033,1,1,9,8,1.6,9,10,1.6,2014-06-08,Mac
913,acs-manb114,9,4,33,25,3.1,3,62,27.9,2014-06-08,Mac
914,acs-manb206,21,6,67,31,4.0,3,80,84.0,2014-06-08,Mac
915,acs-may2110,2,1,2,1,0.1,1,6,0.2,2014-06-08,Mac
916,acs-may2306,2,1,2,1,0.1,1,4,0.2,2014-06-08,Mac
917,acs-may2326,1,1,1,1,0.3,1,21,0.3,2014-06-08,Mac
918,acs-may4623,13,9,32,11,5.3,2,159,68.9,2014-06-08,Mac
919,acs-mgh2116,1,1,3,2,0.5,3,9,0.5,2014-06-08,Mac
920,acs-osb10,1,1,3,3,0.3,3,6,0.3,2014-06-08,Mac
921,acs-pch240,2,2,3,3,0.1,1,5,0.2,2014-06-08,Mac
904,ALL-MAC,241,75,2133,1271,7.6,8,57,1831.6,2014-06-08,Mac
923,acs-pch440,42,42,92,28,5.5,2,163,231.0,2014-06-08,Mac
924,acs-raza,8,6,31,25,1.2,3,24,9.6,2014-06-08,Mac
925,acs-rcl,1,1,179,138,16.6,179,5,16.6,2014-06-08,Mac
908,acs-cpmc204,6,4,20,8,3.8,3,75,22.8,2014-06-08,Mac
907,acs-cpmc201,1,1,2,1,20.0,2,600,20.0,2014-06-08,Mac
906,acs-cntr315,25,9,132,71,5.6,5,67,140.0,2014-06-08,Mac
905,acs-bml,5,5,70,37,23.6,14,101,118.0,2014-06-08,Mac
922,acs-pch264,24,14,294,165,13.2,12,65,316.8,2014-06-08,Mac
928,acs-sungod,9,9,275,228,9.7,30,19,87.3,2014-06-08,Mac
929,acs-va228,16,6,85,36,4.1,5,49,65.6,2014-06-08,Mac
930,acs-vilb3w,2,2,124,94,12.6,62,12,25.2,2014-06-08,Mac
931,acs-vilb6e,2,2,137,109,7.9,68,6,15.8,2014-06-08,Mac
932,acs-york1310,3,1,7,2,5.1,2,154,15.3,2014-06-08,Mac
933,acs-york3070,6,2,8,5,2.2,1,131,13.2,2014-06-08,Mac
760,acs-bml,5,3,29,15,8.8,5,106,44.0,2014-06-15,Mac
759,ALL-MAC,91,36,269,184,2.9,2,86,263.9,2014-06-15,Mac
761,acs-cpmc204,2,1,3,2,0.3,1,17,0.6,2014-06-15,Mac
764,acs-glbw,11,4,21,16,1.5,1,92,16.5,2014-06-15,Mac
763,acs-gh18b,2,1,2,2,0.0,1,1,0.0,2014-06-15,Mac
783,acs-york3070,1,1,1,1,8.2,1,493,8.2,2014-06-15,Mac
782,acs-york1310,1,1,5,1,13.0,5,156,13.0,2014-06-15,Mac
781,acs-vilb6e,1,1,2,2,0.2,2,5,0.2,2014-06-15,Mac
780,acs-vilb3w,1,1,2,2,0.6,2,17,0.6,2014-06-15,Mac
779,acs-va228,4,2,6,3,1.1,1,64,4.4,2014-06-15,Mac
778,acs-sungod,9,3,31,24,1.5,3,30,13.5,2014-06-15,Mac
777,acs-rimac,3,2,22,17,2.0,7,17,6.0,2014-06-15,Mac
776,acs-rh228,1,1,3,1,2.7,3,53,2.7,2014-06-15,Mac
762,acs-gh18a,1,1,1,1,0.1,1,3,0.1,2014-06-15,Mac
775,acs-rcl,1,1,2,2,0.1,2,3,0.1,2014-06-15,Mac
773,acs-pch440,32,29,106,76,7.6,3,151,243.2,2014-06-15,Mac
772,acs-pch264,7,2,14,10,0.5,2,16,3.5,2014-06-15,Mac
771,acs-pch240,1,1,1,1,0.4,1,24,0.4,2014-06-15,Mac
770,acs-osb10,1,1,2,2,0.2,2,6,0.2,2014-06-15,Mac
769,acs-mgh2116,1,1,2,2,0.0,2,1,0.0,2014-06-15,Mac
767,acs-manb206,2,1,4,1,8.3,2,249,16.6,2014-06-15,Mac
766,acs-manb114,1,1,1,1,0.5,1,27,0.5,2014-06-15,Mac
765,acs-hss6033,1,1,4,4,0.5,4,7,0.5,2014-06-15,Mac
774,acs-raza,1,1,4,4,4.4,4,65,4.4,2014-06-15,Mac
